CNPJ;Nome;Tipo de Participante;Código CVM;Data;Status
11.523.610/0001-96;AGROPEC CAMPO ALEGRE SA;CIAS INCENTIVADAS REGISTRADAS;510327;14/02/2012;Cancelado
08.668.238/0001-00;AGROPEC CAMPOS SA;CIAS INCENTIVADAS REGISTRADAS;506591;28/08/1998;Cancelado
09.192.642/0001-04;AGROPEC CANAFISTULA SA;CIAS INCENTIVADAS REGISTRADAS;509272;24/03/1998;Cancelado
11.848.025/0001-66;AGROPEC CAROCA SA;CIAS INCENTIVADAS REGISTRADAS;506222;14/02/2012;Cancelado
04.132.437/0001-30;AGROPEC CAROPA SA;CIAS INCENTIVADAS REGISTRADAS;510661;14/02/2012;Cancelado
04.132.437/0001-30;AGROPEC CAROPA SA;CIAS INCENTIVADAS REGISTRADAS;519430;03/12/2012;Cancelado
07.127.053/0001-17;AGROPEC CASCAVEL SA - AGROCASA;CIAS INCENTIVADAS REGISTRADAS;509868;14/02/2012;Cancelado
08.896.839/0001-61;AGROPEC CAXIRIMBU SA;CIAS INCENTIVADAS REGISTRADAS;500372;14/02/2012;Cancelado
10.767.341/0001-40;AGROPEC CEARENSE SA - ACESA;CIAS INCENTIVADAS REGISTRADAS;515116;28/09/2008;Cancelado
17.438.920/0001-99;AGROPEC CEDROMINAS SA;CIAS INCENTIVADAS REGISTRADAS;513210;23/10/1992;Cancelado
14.714.653/0001-47;AGROPEC CORACI PARANA SA;CIAS INCENTIVADAS REGISTRADAS;513717;14/02/2012;Cancelado
04.418.398/0001-31;AGROPEC CORUMBIARA SA;CIAS INCENTIVADAS REGISTRADAS;513180;24/10/2012;Cancelado
12.907.572/0001-38;AGROPEC CUPISSURA SA;CIAS INCENTIVADAS REGISTRADAS;516821;14/02/2012;Cancelado
13.027.644/0001-15;AGROPEC DA BARRA SA;CIAS INCENTIVADAS REGISTRADAS;505811;14/02/2012;Cancelado
14.056.386/0001-68;AGROPEC DA STA CRUZ SA;CIAS INCENTIVADAS REGISTRADAS;508284;14/02/2012;Cancelado
14.056.386/0001-68;AGROPEC DA STA CRUZ SA;CIAS INCENTIVADAS REGISTRADAS;519669;08/11/2013;Cancelado
04.376.224/0001-53;AGROPEC DEMETRIO SA;CIAS INCENTIVADAS REGISTRADAS;507091;14/02/2012;Cancelado
04.376.224/0001-53;AGROPEC DEMETRIO SA;CIAS INCENTIVADAS REGISTRADAS;520705;08/01/2018;Cancelado
06.645.196/0001-58;AGROPEC DIAMANTE SA - AGRODISA;CIAS INCENTIVADAS REGISTRADAS;503088;28/09/2008;Cancelado
04.713.087/0001-03;AGROPEC DO BOSQUE SA;CIAS INCENTIVADAS REGISTRADAS;512699;14/02/2012;Cancelado
03.208.360/0001-71;AGROPEC DO CACHIMBO SA;CIAS INCENTIVADAS REGISTRADAS;512850;03/06/1993;Cancelado
14.123.228/0001-83;AGROPEC DO GUAMA SA;CIAS INCENTIVADAS REGISTRADAS;507016;14/02/2012;Cancelado
09.574.971/0001-10;AGROPEC DO RETIRO SA;CIAS INCENTIVADAS REGISTRADAS;502715;14/02/2012;Cancelado
07.363.351/0001-06;AGROPEC DUPLO T SA;CIAS INCENTIVADAS REGISTRADAS;520152;13/10/2015;Cancelado
06.976.187/0001-40;AGROPEC E INDL MACHADO SA-AGRIMA;CIAS INCENTIVADAS REGISTRADAS;520667;05/10/2017;Cancelado
06.997.449/0001-52;AGROPEC E INDL SANTANA SA;CIAS INCENTIVADAS REGISTRADAS;515817;28/09/2008;Cancelado
31.741.259/0001-17;AGROPEC ESTRELA DO NORTE SA;CIAS INCENTIVADAS REGISTRADAS;511854;07/08/2006;Cancelado
